Item	Frequency
healthy people	0.0069
spread of the virus	0.0069
coronavirus update	0.0069
stand	0.0069
unmask	0.0069
texans	0.0069
holidays	0.0069
covid denier	0.0068
spanish flu	0.0068
covid-19 situation	0.0068
board exam	0.0068
downplay	0.0068
ron	0.0068
pakistan	0.0068
covid-19 protocol	0.0067
health measure	0.0067
covid-19 variant	0.0067
staying home	0.0067
saved	0.0067
banned	0.0067
clinical trial	0.0067
japan	0.0067
showing	0.0067
streets	0.0067
negative test	0.0066
surgical mask	0.0066
unemployment benefit	0.0066
hand sanitizer	0.0066
tweeting	0.0066
crap	0.0066
n	0.0066
âž	0.0066
arizona	0.0066
doses	0.0066
cdc director	0.0065
pandemic hit	0.0065
cruise ship	0.0065
panic buying	0.0065
midst of a pandemic	0.0065
world health organization	0.0065
anxiety	0.0065
weird	0.0065
letting	0.0065
contracting	0.0065
swab	0.0065
easing	0.0065
stock market	0.0065
press	0.0065
thursday	0.0065
covid booster	0.0064
case count	0.0064
whole pandemic	0.0064
health authority	0.0064
normal life	0.0064
nancy	0.0064
canadians	0.0064
pandemics	0.0064
claims	0.0064
horrible	0.0064
ki	0.0064
student	0.0064
crowded	0.0064
lagos	0.0064
gujarat	0.0064
headline	0.0064
communist	0.0064
mike	0.0064
expert	0.0064
january	0.0064
covid19 vaccine	0.0063
health emergency	0.0063
ab	0.0063
ballots	0.0063
furlough	0.0063
awful	0.0063
disproportionately	0.0063
donated	0.0063
hysteria	0.0063
cvs	0.0063
asian	0.0063
pill	0.0063
ten of thousands	0.0063
number of people	0.0063
medical expert	0.0062
distancing rule	0.0062
million of people	0.0062
aug	0.0062
aerosol	0.0062
myanmar	0.0062
ssr	0.0062
inflation	0.0062
oct	0.0062
supreme court	0.0062
fl	0.0062
senator	0.0062
vaccinated	0.0062
spike protein	0.0061
public health official	0.0061
pandemic time	0.0061
death certificate	0.0061
state of emergency	0.0061
damn mask	0.0061
overwhelmed	0.0061
only thing	0.0061
last month	0.0061
covid wave	0.006
ron desantis	0.006
covid ward	0.006
gun violence	0.006
lets	0.006
arrested	0.006
bubble	0.006
complications	0.006
handled	0.006
difficult time	0.006
demand	0.006
minimum wage	0.006
high school	0.006
long time	0.006
covid policy	0.0059
hospital admission	0.0059
flu vaccine	0.0059
lab leak	0.0059
false positive	0.0059
aged care	0.0059
racial	0.0059
impeachment	0.0059
offline	0.0059
adverse	0.0059
halloween	0.0059
cloth mask	0.0058
cases surge	0.0058
vaccination site	0.0058
positives	0.0058
hhs	0.0058
covaxin	0.0058
icus	0.0058
walk-in	0.0058
origin	0.0058
supplies	0.0058
cruise	0.0058
fever	0.0058
package	0.0058
ship	0.0058
michigan	0.0058
tulsa	0.0058
matter	0.0058
mild symptom	0.0057
vaccination status	0.0057
new covid	0.0057
blue state	0.0057
community transmission	0.0057
new lockdown	0.0057
public health expert	0.0057
vaccination drive	0.0057
corona pandemic	0.0057
covid19 case	0.0057
mandates	0.0057
disappear	0.0057
supreme	0.0057
coronavirus testing	0.0057
immunocompromised	0.0057
yo	0.0057
mitigation	0.0057
only way	0.0057
thousand of people	0.0057
red state	0.0056
school closure	0.0056
year old	0.0056
social distancing rule	0.0056
gdp	0.0056
virologist	0.0056
wales	0.0056
spread of coronavirus	0.0056
nz	0.0056
economic crisis	0.0056
superspreader	0.0056
non-covid	0.0056
dept	0.0056
monoclonal	0.0056
hotspot	0.0056
surging	0.0056
